location,forecast_date,quantile,prediction,horizon,model,target_end_date,target_type,expert
GB,2021-05-24,0.65,68,2,EpiNow2,2021-06-05,Deaths,
GB,2021-05-24,0.7,71,2,EpiNow2,2021-06-05,Deaths,
GB,2021-05-24,0.7,71,2,EpiNow2,2021-06-05,Deaths,
GB,2021-05-24,0.75,74,2,EpiNow2,2021-06-05,Deaths,
GB,2021-05-24,0.75,74,2,EpiNow2,2021-06-05,Deaths,
GB,2021-05-24,0.8,80,2,EpiNow2,2021-06-05,Deaths,
GB,2021-05-24,0.8,80,2,EpiNow2,2021-06-05,Deaths,
GB,2021-05-24,0.85,87,2,EpiNow2,2021-06-05,Deaths,
GB,2021-05-24,0.85,87,2,EpiNow2,2021-06-05,Deaths,
GB,2021-05-24,0.9,94.1000000000001,2,EpiNow2,2021-06-05,Deaths,
GB,2021-05-24,0.9,94.1000000000001,2,EpiNow2,2021-06-05,Deaths,
GB,2021-05-24,0.95,110.05,2,EpiNow2,2021-06-05,Deaths,
GB,2021-05-24,0.95,110.05,2,EpiNow2,2021-06-05,Deaths,
GB,2021-05-24,0.975,128.025,2,EpiNow2,2021-06-05,Deaths,
GB,2021-05-24,0.975,128.025,2,EpiNow2,2021-06-05,Deaths,
GB,2021-05-24,0.99,142.01,2,EpiNow2,2021-06-05,Deaths,
GB,2021-05-24,0.99,142.01,2,EpiNow2,2021-06-05,Deaths,
GB,2021-05-24,0.01,14.99,3,EpiNow2,2021-06-12,Deaths,
GB,2021-05-24,0.01,14.99,3,EpiNow2,2021-06-12,Deaths,
GB,2021-05-24,0.025,19,3,EpiNow2,2021-06-12,Deaths,
GB,2021-05-24,0.025,19,3,EpiNow2,2021-06-12,Deaths,
GB,2021-05-24,0.05,24,3,EpiNow2,2021-06-12,Deaths,
GB,2021-05-24,0.05,24,3,EpiNow2,2021-06-12,Deaths,
GB,2021-05-24,0.1,29.9,3,EpiNow2,2021-06-12,Deaths,
GB,2021-05-24,0.1,29.9,3,EpiNow2,2021-06-12,Deaths,
GB,2021-05-24,0.15,34,3,EpiNow2,2021-06-12,Deaths,
GB,2021-05-24,0.15,34,3,EpiNow2,2021-06-12,Deaths,
GB,2021-05-24,0.2,38,3,EpiNow2,2021-06-12,Deaths,
GB,2021-05-24,0.2,38,3,EpiNow2,2021-06-12,Deaths,
GB,2021-05-24,0.25,40,3,EpiNow2,2021-06-12,Deaths,
GB,2021-05-24,0.25,40,3,EpiNow2,2021-06-12,Deaths,
GB,2021-05-24,0.3,43,3,EpiNow2,2021-06-12,Deaths,
GB,2021-05-24,0.3,43,3,EpiNow2,2021-06-12,Deaths,
GB,2021-05-24,0.35,47,3,EpiNow2,2021-06-12,Deaths,
GB,2021-05-24,0.35,47,3,EpiNow2,2021-06-12,Deaths,
GB,2021-05-24,0.4,49,3,EpiNow2,2021-06-12,Deaths,
GB,2021-05-24,0.4,49,3,EpiNow2,2021-06-12,Deaths,
GB,2021-05-24,0.45,52,3,EpiNow2,2021-06-12,Deaths,
GB,2021-05-24,0.45,52,3,EpiNow2,2021-06-12,Deaths,
GB,2021-05-24,0.5,56,3,EpiNow2,2021-06-12,Deaths,
GB,2021-05-24,0.5,56,3,EpiNow2,2021-06-12,Deaths,
